Pokémon,Gen,Category,Form Of,Shiny Exists?,RNG Shiny Hunt Possible?,Currently Huntable?,Bucket(A-E),Games / Platforms,Hunting Methods,Odds,Shiny Charm?,Pokémon GO Method,HOME Guaranteed Shiny?,Event-Only Shiny?,Notable Forms,Notes
Xurkitree,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since May 30 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Celesteela,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jul 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Kartana,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jul 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Guzzlord,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jul 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Stakataka,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Apr 2025); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Blacephalon,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Apr 2025); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Poipole,VII,Ultra Beast,—,No,No,No,D (shiny unavailable),USUM / GO,USUM / GO: Gift / research [LOCKED],n/a,n/a,In GO; shiny-LOCKED.,No,No,—,Ultra Beast. Shiny UNAVAILABLE (shiny-locked in both USUM and GO).
Naganadel,VII,Ultra Beast,—,No,No,No,D (shiny unavailable),USUM / GO,USUM / GO: Evolves from Poipole [LOCKED],n/a,n/a,In GO; shiny-LOCKED.,No,No,—,Ultra Beast. Shiny UNAVAILABLE (only from shiny-locked Poipole).
Galarian Articuno,VIII,Legendary,Articuno,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Roaming static (Legendary Clue 1) [LOCKED] | Pokémon GO: Daily Adventure Incense wild spawn (RNG),Pokémon GO ~1/20 per encounter,n/a (GO has no Shiny Charm),"Daily Adventure Incense wild (shiny since Oct 2024) — RNG, wild-only (not raids)",No,No,—,"Galarian form of Articuno (Psychic/Flying) — a distinct Pokémon introduced in Gen VIII, NOT the Kanto bird. Main-series Crown Tundra roamer is shiny-locked; the ONLY shiny route is Pokémon GO Daily Adventure Incense wild spawns."
Galarian Zapdos,VIII,Legendary,Zapdos,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Roaming static (Legendary Clue 1) [LOCKED] | Pokémon GO: Daily Adventure Incense wild spawn (RNG),Pokémon GO ~1/20 per encounter,n/a (GO has no Shiny Charm),"Daily Adventure Incense wild (shiny since Oct 2024) — RNG, wild-only (not raids)",No,No,—,"Galarian form of Zapdos (Fighting/Flying) — a distinct Pokémon introduced in Gen VIII, NOT the Kanto bird. Main-series Crown Tundra roamer is shiny-locked; the ONLY shiny route is Pokémon GO Daily Adventure Incense wild spawns."
Galarian Moltres,VIII,Legendary,Moltres,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Roaming static (Legendary Clue 1) [LOCKED] | Pokémon GO: Daily Adventure Incense wild spawn (RNG),Pokémon GO ~1/20 per encounter,n/a (GO has no Shiny Charm),"Daily Adventure Incense wild (shiny since Oct 2024) — RNG, wild-only (not raids)",No,No,—,"Galarian form of Moltres (Dark/Flying) — a distinct Pokémon introduced in Gen VIII, NOT the Kanto bird. Main-series Crown Tundra roamer is shiny-locked; the ONLY shiny route is Pokémon GO Daily Adventure Incense wild spawns."
Deoxys (Attack Forme),III,Mythical,Deoxys,Yes,Yes,Yes,"A (true hunt, current)","FireRed (Gen 3), Pokémon GO",Pokémon GO: Raid — this Forme (RNG) | FireRed (Gen 3): Birth Island static (soft-reset),Pokémon GO ~1/20 | FireRed (Gen 3) 1/8192,n/a (GO has no Shiny Charm); No charm pre-Gen6,Forme-specific raids (shiny since Feb 19 2022) — RNG; ~1/20,No,No,—,Alternate Forme of Deoxys — a separate shiny collectible in GO (own release date). In the main series the Forme is fixed by game/meteorite.
Deoxys (Defense Forme),III,Mythical,Deoxys,Yes,Yes,Yes,"A (true hunt, current)","LeafGreen (Gen 3), Pokémon GO",Pokémon GO: Raid — this Forme (RNG) | LeafGreen (Gen 3): Birth Island static (soft-reset),Pokémon GO ~1/20 | LeafGreen (Gen 3) 1/8192,n/a (GO has no Shiny Charm); No charm pre-Gen6,Forme-specific raids (shiny since Feb 22 2022) — RNG; ~1/20,No,No,—,Alternate Forme of Deoxys — a separate shiny collectible in GO (own release date). In the main series the Forme is fixed by game/meteorite.
Deoxys (Speed Forme),III,Mythical,Deoxys,Yes,Yes,Yes,"A (true hunt, current)","Emerald (Gen 3), Pokémon GO",Pokémon GO: Raid — this Forme (RNG) | Emerald (Gen 3): Birth Island static (soft-reset),Pokémon GO ~1/20 | Emerald (Gen 3) 1/8192,n/a (GO has no Shiny Charm); No charm pre-Gen6,Forme-specific raids (shiny since Feb 25 2022) — RNG; ~1/20,No,No,—,Alternate Forme of Deoxys — a separate shiny collectible in GO (own release date). In the main series the Forme is fixed by game/meteorite.
Giratina (Origin Forme),IV,Legendary,Giratina,Yes,Yes,Yes,"A (true hunt, current)","Platinum/BDSP/SwSh/PLA, Pokémon GO",Pokémon GO: Raid — Origin Forme (RNG) | Platinum/BDSP/SwSh/PLA: Form change (Griseous Orb/Core),Pokémon GO ~1/20,n/a (GO has no Shiny Charm); Same shiny as the base — huntable via DA/USUM/Ramanas Park,Origin Forme raids — RNG; ~1/20,No,No,—,Separate shiny raid boss in GO; in the main series it's a Griseous Orb/Core form-change of your Giratina.
Dialga (Origin Forme),IV,Legendary,Dialga,Yes,Yes,Yes,"A (true hunt, current)","Legends: Arceus (Adamant Crystal), Pokémon GO",Pokémon GO: Raid — Origin Forme (RNG) | Legends: Arceus (Adamant Crystal): Origin form-change [LOCKED],Pokémon GO ~1/20,n/a (GO has no Shiny Charm),Origin Forme raids — RNG; ~1/20,No,No,—,"GO-ONLY shiny. Unlike Giratina, a shiny Origin Dialga can only come from Pokémon GO: the Adamant Crystal is PLA-exclusive and the PLA Dialga is shiny-locked, so it can't be paired with a huntable shiny."
Palkia (Origin Forme),IV,Legendary,Palkia,Yes,Yes,Yes,"A (true hunt, current)","Legends: Arceus (Lustrous Globe), Pokémon GO",Pokémon GO: Raid — Origin Forme (RNG) | Legends: Arceus (Lustrous Globe): Origin form-change [LOCKED],Pokémon GO ~1/20,n/a (GO has no Shiny Charm),Origin Forme raids — RNG; ~1/20,No,No,—,"GO-ONLY shiny. Unlike Giratina, a shiny Origin Palkia can only come from Pokémon GO: the Lustrous Globe is PLA-exclusive and the PLA Palkia is shiny-locked, so it can't be paired with a huntable shiny."
Tornadus (Therian Forme),V,Legendary,Tornadus,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2 onward (Reveal Glass), Pokémon GO",Pokémon GO: Raid — Therian Forme (RNG) | Black2/White2 onward (Reveal Glass): Form change (Reveal Glass),Pokémon GO ~1/20,n/a (GO has no Shiny Charm); Same shiny as the base — huntable via Dynamax Adventures / SwSh roamer / GO,Therian Forme raids (shiny since Mar 15 2022) — RNG; ~1/20,No,No,—,Separate shiny raid boss in GO; in the main series it's a Reveal Glass form-change of the Incarnate forme.
Thundurus (Therian Forme),V,Legendary,Thundurus,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2 onward (Reveal Glass), Pokémon GO",Pokémon GO: Raid — Therian Forme (RNG) | Black2/White2 onward (Reveal Glass): Form change (Reveal Glass),Pokémon GO ~1/20,n/a (GO has no Shiny Charm); Same shiny as the base — huntable via Dynamax Adventures / SwSh roamer / GO,Therian Forme raids (shiny since Apr 5 2022) — RNG; ~1/20,No,No,—,Separate shiny raid boss in GO; in the main series it's a Reveal Glass form-change of the Incarnate forme.
Landorus (Therian Forme),V,Legendary,Landorus,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2 onward (Reveal Glass), Pokémon GO",Pokémon GO: Raid — Therian Forme (RNG) | Black2/White2 onward (Reveal Glass): Form change (Reveal Glass),Pokémon GO ~1/20,n/a (GO has no Shiny Charm); Same shiny as the base — huntable via Dynamax Adventures / SwSh roamer / GO,Therian Forme raids (shiny since Apr 26 2022) — RNG; ~1/20,No,No,—,Separate shiny raid boss in GO; in the main series it's a Reveal Glass form-change of the Incarnate forme.
